Date;ADA=CCCL (TRDPRC_1)
;Close
11/04/2024 13:00;0,5835
11/04/2024 12:00;0,5862
11/04/2024 11:00;0,5813
11/04/2024 10:00;0,5871
11/04/2024 09:00;0,5884
11/04/2024 08:00;0,5936
11/04/2024 07:00;0,5919
11/04/2024 06:00;0,5895
11/04/2024 05:00;0,5865
11/04/2024 04:00;0,5857
11/04/2024 03:00;0,5887
11/04/2024 02:00;0,5869
11/04/2024 01:00;0,5853
11/04/2024 00:00;0,5896
10/04/2024 23:00;0,5862
10/04/2024 22:00;0,5856
10/04/2024 21:00;0,5828
10/04/2024 20:00;0,5817
10/04/2024 19:00;0,5826
10/04/2024 18:00;0,5756
10/04/2024 17:00;0,5811
10/04/2024 16:00;0,582
10/04/2024 15:00;0,5726
10/04/2024 14:00;0,5731
10/04/2024 13:00;0,5687
10/04/2024 12:00;0,5676
10/04/2024 11:00;0,5776
10/04/2024 10:00;0,5776
10/04/2024 09:00;0,5809
10/04/2024 08:00;0,5807
10/04/2024 07:00;0,5844
10/04/2024 06:00;0,5863
10/04/2024 05:00;0,5853
10/04/2024 04:00;0,583
10/04/2024 03:00;0,5821
10/04/2024 02:00;0,5772
10/04/2024 01:00;0,5886
10/04/2024 00:00;0,5908
09/04/2024 23:00;0,591
09/04/2024 22:00;0,5967
09/04/2024 21:00;0,5973
09/04/2024 20:00;0,6002
09/04/2024 19:00;0,5997
09/04/2024 18:00;0,6004
09/04/2024 17:00;0,6022
09/04/2024 16:00;0,6004
09/04/2024 15:00;0,6054
09/04/2024 14:00;0,5993
09/04/2024 13:00;0,6079
09/04/2024 12:00;0,6218
09/04/2024 11:00;0,6117
09/04/2024 10:00;0,6064
09/04/2024 09:00;0,6039
09/04/2024 08:00;0,6046
09/04/2024 07:00;0,6026
09/04/2024 06:00;0,6057
09/04/2024 05:00;0,6122
09/04/2024 04:00;0,6101
09/04/2024 03:00;0,6078
09/04/2024 02:00;0,6117
09/04/2024 01:00;0,6095
09/04/2024 00:00;0,6113
08/04/2024 23:00;0,6139
08/04/2024 22:00;0,6153
08/04/2024 21:00;0,6152
08/04/2024 20:00;0,6141
08/04/2024 19:00;0,6145
08/04/2024 18:00;0,6127
08/04/2024 17:00;0,6124
08/04/2024 16:00;0,6114
08/04/2024 15:00;0,6073
08/04/2024 14:00;0,6074
08/04/2024 13:00;0,6076
08/04/2024 12:00;0,6026
08/04/2024 11:00;0,6078
08/04/2024 10:00;0,609
08/04/2024 09:00;0,6074
08/04/2024 08:00;0,6068
08/04/2024 07:00;0,5946
08/04/2024 06:00;0,5844
08/04/2024 05:00;0,585
08/04/2024 04:00;0,5815
08/04/2024 03:00;0,582
08/04/2024 02:00;0,5835
08/04/2024 01:00;0,5855
08/04/2024 00:00;0,5859
07/04/2024 23:00;0,5894
07/04/2024 22:00;0,5847
07/04/2024 21:00;0,584
07/04/2024 20:00;0,5848
07/04/2024 19:00;0,5838
07/04/2024 18:00;0,5879
07/04/2024 17:00;0,5904
07/04/2024 16:00;0,5942
07/04/2024 15:00;0,5899
07/04/2024 14:00;0,5943
07/04/2024 13:00;0,5954
07/04/2024 12:00;0,5932
07/04/2024 11:00;0,5934
07/04/2024 10:00;0,5922
07/04/2024 09:00;0,5894
07/04/2024 08:00;0,5931
07/04/2024 07:00;0,5901
07/04/2024 06:00;0,5896
07/04/2024 05:00;0,5903
07/04/2024 04:00;0,589
07/04/2024 03:00;0,5888
07/04/2024 02:00;0,5875
07/04/2024 01:00;0,5887
07/04/2024 00:00;0,5854
06/04/2024 23:00;0,5838
06/04/2024 22:00;0,5855
06/04/2024 21:00;0,581
06/04/2024 20:00;0,5825
06/04/2024 19:00;0,5812
06/04/2024 18:00;0,5822
06/04/2024 17:00;0,5827
06/04/2024 16:00;0,5851
06/04/2024 15:00;0,5842
06/04/2024 14:00;0,5807
06/04/2024 13:00;0,5774
06/04/2024 12:00;0,58
06/04/2024 11:00;0,581
06/04/2024 10:00;0,5809
06/04/2024 09:00;0,5813
06/04/2024 08:00;0,5839
06/04/2024 07:00;0,5819
06/04/2024 06:00;0,5831
06/04/2024 05:00;0,5815
06/04/2024 04:00;0,5803
06/04/2024 03:00;0,5808
06/04/2024 02:00;0,5788
06/04/2024 01:00;0,576
06/04/2024 00:00;0,5771
05/04/2024 23:00;0,5743
05/04/2024 22:00;0,5745
05/04/2024 21:00;0,5752
05/04/2024 20:00;0,5763
05/04/2024 19:00;0,5747
05/04/2024 18:00;0,5752
05/04/2024 17:00;0,5731
05/04/2024 16:00;0,5755
05/04/2024 15:00;0,578
05/04/2024 14:00;0,5763
05/04/2024 13:00;0,5711
05/04/2024 12:00;0,5713
05/04/2024 11:00;0,5631
05/04/2024 10:00;0,5697
05/04/2024 09:00;0,5688
05/04/2024 08:00;0,5749
05/04/2024 07:00;0,5719
05/04/2024 06:00;0,5719
05/04/2024 05:00;0,57
05/04/2024 04:00;0,5733
05/04/2024 03:00;0,5776
05/04/2024 02:00;0,5713
05/04/2024 01:00;0,5798
05/04/2024 00:00;0,5846
04/04/2024 23:00;0,5838
04/04/2024 22:00;0,5775
04/04/2024 21:00;0,5776
04/04/2024 20:00;0,5813
04/04/2024 19:00;0,5853
04/04/2024 18:00;0,5878
04/04/2024 17:00;0,5948
04/04/2024 16:00;0,5906
04/04/2024 15:00;0,588
04/04/2024 14:00;0,5897
04/04/2024 13:00;0,5871
04/04/2024 12:00;0,5853
04/04/2024 11:00;0,5811
04/04/2024 10:00;0,5821
04/04/2024 09:00;0,5818
04/04/2024 08:00;0,5796
04/04/2024 07:00;0,5759
04/04/2024 06:00;0,5722
04/04/2024 05:00;0,5703
04/04/2024 04:00;0,5673
04/04/2024 03:00;0,5666
04/04/2024 02:00;0,5709
04/04/2024 01:00;0,5744
