Date;BCH=BTSP (TRDPRC_1)
;Close
11/04/2024 13:00;602,88
11/04/2024 12:00;609,78
11/04/2024 11:00;605,63
11/04/2024 10:00;611
11/04/2024 09:00;614,02
11/04/2024 08:00;618,59
11/04/2024 07:00;620,86
11/04/2024 06:00;619,36
11/04/2024 05:00;613,42
11/04/2024 04:00;616,49
11/04/2024 03:00;620,05
11/04/2024 02:00;621,23
11/04/2024 01:00;616,63
11/04/2024 00:00;622,57
10/04/2024 23:00;630
10/04/2024 22:00;628,32
10/04/2024 21:00;623,17
10/04/2024 20:00;620,72
10/04/2024 19:00;617,54
10/04/2024 18:00;608,56
10/04/2024 17:00;615,75
10/04/2024 16:00;619,54
10/04/2024 15:00;612,68
10/04/2024 14:00;617,03
10/04/2024 13:00;611,08
10/04/2024 12:00;612,02
10/04/2024 11:00;614,53
10/04/2024 10:00;615,8
10/04/2024 09:00;617,49
10/04/2024 08:00;628,74
10/04/2024 07:00;629,23
10/04/2024 06:00;630,78
10/04/2024 05:00;628,29
10/04/2024 04:00;623,82
10/04/2024 03:00;625,39
10/04/2024 02:00;620
10/04/2024 01:00;644,41
10/04/2024 00:00;666,42
09/04/2024 23:00;672,15
09/04/2024 22:00;677,32
09/04/2024 21:00;673,81
09/04/2024 20:00;677,41
09/04/2024 19:00;673,72
09/04/2024 18:00;673,28
09/04/2024 17:00;673,31
09/04/2024 16:00;684,25
09/04/2024 15:00;687,29
09/04/2024 14:00;688,35
09/04/2024 13:00;683,02
09/04/2024 12:00;670,68
09/04/2024 11:00;674,22
09/04/2024 10:00;674,05
09/04/2024 09:00;677,12
09/04/2024 08:00;667,36
09/04/2024 07:00;668,09
09/04/2024 06:00;672,04
09/04/2024 05:00;679,55
09/04/2024 04:00;678,6
09/04/2024 03:00;676,69
09/04/2024 02:00;679,17
09/04/2024 01:00;681,36
09/04/2024 00:00;679,7
08/04/2024 23:00;680,8
08/04/2024 22:00;685,29
08/04/2024 21:00;684,2
08/04/2024 20:00;685,42
08/04/2024 19:00;683
08/04/2024 18:00;688,86
08/04/2024 17:00;683,76
08/04/2024 16:00;682,28
08/04/2024 15:00;680,93
