Date;ETH= (BID)
;Close
11/04/2024 13:00;3556
11/04/2024 12:00;3557,6
11/04/2024 11:00;3522,23
11/04/2024 10:00;3560,9
11/04/2024 09:00;3578,1
11/04/2024 08:00;3606,48
11/04/2024 07:00;3582,7
11/04/2024 06:00;3575,6
11/04/2024 05:00;3563,2
11/04/2024 04:00;3562
11/04/2024 03:00;3576
11/04/2024 02:00;3565,9
11/04/2024 01:00;3530,59
11/04/2024 00:00;3533,49
10/04/2024 23:00;3545,6
10/04/2024 22:00;3538,1
10/04/2024 21:00;3512,99
10/04/2024 20:00;3513,23
10/04/2024 19:00;3520,71
10/04/2024 18:00;3494,9
10/04/2024 17:00;3518
10/04/2024 16:00;3527,2
10/04/2024 15:00;3478,47
10/04/2024 14:00;3485,9
10/04/2024 13:00;3459,6
10/04/2024 12:00;3438,8
10/04/2024 11:00;3520,7
10/04/2024 10:00;3518,7
10/04/2024 09:00;3531,5
10/04/2024 08:00;3517,5
10/04/2024 07:00;3535,7
10/04/2024 06:00;3537,89
10/04/2024 05:00;3532,2
10/04/2024 04:00;3515,66
10/04/2024 03:00;3511,9
10/04/2024 02:00;3476,8
10/04/2024 01:00;3514,3
10/04/2024 00:00;3504,91
09/04/2024 23:00;3504,3
09/04/2024 22:00;3516,9
09/04/2024 21:00;3507,32
09/04/2024 20:00;3512,5
09/04/2024 19:00;3515,3
09/04/2024 18:00;3504
09/04/2024 17:00;3502,6
09/04/2024 16:00;3495,5
09/04/2024 15:00;3529,1
09/04/2024 14:00;3521,6
09/04/2024 13:00;3592,8
09/04/2024 12:00;3629,23
09/04/2024 11:00;3632,9
09/04/2024 10:00;3627,8
09/04/2024 09:00;3629,6
09/04/2024 08:00;3629,6
09/04/2024 07:00;3643,2
09/04/2024 06:00;3644
09/04/2024 05:00;3691,61
09/04/2024 04:00;3696,2
09/04/2024 03:00;3692,4
09/04/2024 02:00;3705,9
09/04/2024 01:00;3679,9
09/04/2024 00:00;3693,85
08/04/2024 23:00;3694,6
08/04/2024 22:00;3720,7
08/04/2024 21:00;3685,59
