Date;LTC=BTSP (TRDPRC_1)
;Close
11/04/2024 13:00;95,54
11/04/2024 12:00;96,75
11/04/2024 11:00;95,96
11/04/2024 10:00;96,6
11/04/2024 09:00;96,97
11/04/2024 08:00;98,07
11/04/2024 07:00;97,98
11/04/2024 06:00;97,71
11/04/2024 05:00;97,23
11/04/2024 04:00;97,1
11/04/2024 03:00;97,27
11/04/2024 02:00;97,06
11/04/2024 01:00;96,55
11/04/2024 00:00;96,53
10/04/2024 23:00;96,72
10/04/2024 22:00;96,98
10/04/2024 21:00;96,4
10/04/2024 20:00;95,8
10/04/2024 19:00;96,3
10/04/2024 18:00;95,33
10/04/2024 17:00;96,47
10/04/2024 16:00;96,73
10/04/2024 15:00;95,73
10/04/2024 14:00;95,82
10/04/2024 13:00;95,01
10/04/2024 12:00;95,04
10/04/2024 11:00;96,63
10/04/2024 10:00;96,54
10/04/2024 09:00;96,66
10/04/2024 08:00;96,97
10/04/2024 07:00;97,44
10/04/2024 06:00;97,76
10/04/2024 05:00;97,67
10/04/2024 04:00;97,5
10/04/2024 03:00;97,22
10/04/2024 02:00;96,27
10/04/2024 01:00;97,61
10/04/2024 00:00;97,78
09/04/2024 23:00;97,5
09/04/2024 22:00;98,1
09/04/2024 21:00;97,88
09/04/2024 20:00;98,33
09/04/2024 19:00;98,45
09/04/2024 18:00;98,18
09/04/2024 17:00;98,12
09/04/2024 16:00;97,64
09/04/2024 15:00;97,91
09/04/2024 14:00;97,67
09/04/2024 13:00;98,72
09/04/2024 12:00;99,99
09/04/2024 11:00;100,12
09/04/2024 10:00;99,94
09/04/2024 09:00;99,71
09/04/2024 08:00;99,74
09/04/2024 07:00;99,99
09/04/2024 06:00;100,63
09/04/2024 05:00;101,93
09/04/2024 04:00;102,3
09/04/2024 03:00;102,26
09/04/2024 02:00;102,69
09/04/2024 01:00;102,24
09/04/2024 00:00;102,21
08/04/2024 23:00;103,3
08/04/2024 22:00;104,14
08/04/2024 21:00;104,34
08/04/2024 20:00;104,13
08/04/2024 19:00;103,71
08/04/2024 18:00;103,98
08/04/2024 17:00;103,61
08/04/2024 16:00;103,49
08/04/2024 15:00;102,79
