Date;XRP= (BID)
;Close
11/04/2024 13:00;0,60726
11/04/2024 12:00;0,61397
11/04/2024 11:00;0,60916
11/04/2024 10:00;0,61388
11/04/2024 09:00;0,61599
11/04/2024 08:00;0,6188
11/04/2024 07:00;0,61889
11/04/2024 06:00;0,61671
11/04/2024 05:00;0,61738
11/04/2024 04:00;0,61817
11/04/2024 03:00;0,61997
11/04/2024 02:00;0,61836
11/04/2024 01:00;0,61824
11/04/2024 00:00;0,62023
10/04/2024 23:00;0,6171
10/04/2024 22:00;0,61758
10/04/2024 21:00;0,61631
10/04/2024 20:00;0,61446
10/04/2024 19:00;0,61869
10/04/2024 18:00;0,61829
10/04/2024 17:00;0,61534
10/04/2024 16:00;0,6153
10/04/2024 15:00;0,60739
10/04/2024 14:00;0,60516
10/04/2024 13:00;0,60307
10/04/2024 12:00;0,60189
10/04/2024 11:00;0,61264
10/04/2024 10:00;0,61281
10/04/2024 09:00;0,61206
10/04/2024 08:00;0,61169
10/04/2024 07:00;0,61448
10/04/2024 06:00;0,61273
10/04/2024 05:00;0,60928
10/04/2024 04:00;0,60817
10/04/2024 03:00;0,60649
10/04/2024 02:00;0,6025
10/04/2024 01:00;0,61115
10/04/2024 00:00;0,61358
09/04/2024 23:00;0,61376
09/04/2024 22:00;0,62206
09/04/2024 21:00;0,62361
09/04/2024 20:00;0,62592
09/04/2024 19:00;0,62385
09/04/2024 18:00;0,62261
09/04/2024 17:00;0,62121
09/04/2024 16:00;0,61491
09/04/2024 15:00;0,62191
09/04/2024 14:00;0,61753
09/04/2024 13:00;0,62466
09/04/2024 12:00;0,6302
09/04/2024 11:00;0,62408
09/04/2024 10:00;0,61004
09/04/2024 09:00;0,60765
09/04/2024 08:00;0,60934
09/04/2024 07:00;0,60837
09/04/2024 06:00;0,61721
09/04/2024 05:00;0,61642
09/04/2024 04:00;0,61543
09/04/2024 03:00;0,61343
09/04/2024 02:00;0,61596
09/04/2024 01:00;0,61293
09/04/2024 00:00;0,61551
08/04/2024 23:00;0,61453
08/04/2024 22:00;0,61866
08/04/2024 21:00;0,61877
08/04/2024 20:00;0,62133
08/04/2024 19:00;0,62446
08/04/2024 18:00;0,62462
08/04/2024 17:00;0,62341
08/04/2024 16:00;0,61718
08/04/2024 15:00;0,61537
08/04/2024 14:00;0,61441
08/04/2024 13:00;0,61405
08/04/2024 12:00;0,60642
08/04/2024 11:00;0,60766
08/04/2024 10:00;0,60801
08/04/2024 09:00;0,60725
08/04/2024 08:00;0,60789
08/04/2024 07:00;0,60182
08/04/2024 06:00;0,59672
08/04/2024 05:00;0,59217
08/04/2024 04:00;0,59188
08/04/2024 03:00;0,59204
08/04/2024 02:00;0,59067
08/04/2024 01:00;0,59314
08/04/2024 00:00;0,59197
07/04/2024 23:00;0,59432
07/04/2024 22:00;0,59256
07/04/2024 21:00;0,59095
07/04/2024 20:00;0,59237
07/04/2024 19:00;0,59111
07/04/2024 18:00;0,59366
07/04/2024 17:00;0,59547
07/04/2024 16:00;0,59689
07/04/2024 15:00;0,59651
07/04/2024 14:00;0,60152
07/04/2024 13:00;0,59953
07/04/2024 12:00;0,59601
07/04/2024 11:00;0,59744
07/04/2024 10:00;0,59708
07/04/2024 09:00;0,59607
07/04/2024 08:00;0,59658
07/04/2024 07:00;0,59581
07/04/2024 06:00;0,59528
07/04/2024 05:00;0,59666
07/04/2024 04:00;0,59521
07/04/2024 03:00;0,59509
07/04/2024 02:00;0,59418
07/04/2024 01:00;0,59649
07/04/2024 00:00;0,59473
06/04/2024 23:00;0,59303
06/04/2024 22:00;0,5943
06/04/2024 21:00;0,5897
06/04/2024 20:00;0,59084
06/04/2024 19:00;0,59068
06/04/2024 18:00;0,59042
06/04/2024 17:00;0,58996
06/04/2024 16:00;0,59298
06/04/2024 15:00;0,59437
06/04/2024 14:00;0,59024
06/04/2024 13:00;0,58721
06/04/2024 12:00;0,58819
06/04/2024 11:00;0,588
06/04/2024 10:00;0,58931
06/04/2024 09:00;0,58947
06/04/2024 08:00;0,59142
06/04/2024 07:00;0,59012
06/04/2024 06:00;0,59101
06/04/2024 05:00;0,59055
06/04/2024 04:00;0,59142
06/04/2024 03:00;0,58949
06/04/2024 02:00;0,58935
06/04/2024 01:00;0,58865
06/04/2024 00:00;0,58813
05/04/2024 23:00;0,58731
05/04/2024 22:00;0,58689
05/04/2024 21:00;0,58841
05/04/2024 20:00;0,59067
05/04/2024 19:00;0,58868
05/04/2024 18:00;0,58707
05/04/2024 17:00;0,58419
05/04/2024 16:00;0,58483
05/04/2024 15:00;0,58334
05/04/2024 14:00;0,5819
05/04/2024 13:00;0,57796
05/04/2024 12:00;0,57641
05/04/2024 11:00;0,57241
05/04/2024 10:00;0,57782
05/04/2024 09:00;0,57735
05/04/2024 08:00;0,58263
05/04/2024 07:00;0,58166
05/04/2024 06:00;0,58245
05/04/2024 05:00;0,58041
05/04/2024 04:00;0,58501
05/04/2024 03:00;0,58795
05/04/2024 02:00;0,58223
05/04/2024 01:00;0,5872
05/04/2024 00:00;0,59234
04/04/2024 23:00;0,59365
04/04/2024 22:00;0,58992
04/04/2024 21:00;0,58947
04/04/2024 20:00;0,5912
04/04/2024 19:00;0,59645
04/04/2024 18:00;0,5981
04/04/2024 17:00;0,60335
04/04/2024 16:00;0,59831
04/04/2024 15:00;0,59417
04/04/2024 14:00;0,59652
04/04/2024 13:00;0,59638
04/04/2024 12:00;0,57848
04/04/2024 11:00;0,5751
04/04/2024 10:00;0,57553
04/04/2024 09:00;0,57586
04/04/2024 08:00;0,57589
04/04/2024 07:00;0,57315
04/04/2024 06:00;0,57123
04/04/2024 05:00;0,57089
04/04/2024 04:00;0,56829
04/04/2024 03:00;0,5687
04/04/2024 02:00;0,57034
04/04/2024 01:00;0,57465
04/04/2024 00:00;0,57787
03/04/2024 23:00;0,57436
03/04/2024 22:00;0,57519
03/04/2024 21:00;0,57158
03/04/2024 20:00;0,57154
03/04/2024 19:00;0,57572
03/04/2024 18:00;0,57748
03/04/2024 17:00;0,57942
03/04/2024 16:00;0,58346
03/04/2024 15:00;0,58011
03/04/2024 14:00;0,58466
03/04/2024 13:00;0,57909
03/04/2024 12:00;0,58122
03/04/2024 11:00;0,58336
03/04/2024 10:00;0,58763
03/04/2024 09:00;0,59237
03/04/2024 08:00;0,59134
03/04/2024 07:00;0,58852
03/04/2024 06:00;0,5869
03/04/2024 05:00;0,58559
03/04/2024 04:00;0,58795
03/04/2024 03:00;0,58525
03/04/2024 02:00;0,58412
03/04/2024 01:00;0,58383
03/04/2024 00:00;0,57837
02/04/2024 23:00;0,58541
02/04/2024 22:00;0,58874
02/04/2024 21:00;0,58787
02/04/2024 20:00;0,58893
02/04/2024 19:00;0,59096
02/04/2024 18:00;0,59215
02/04/2024 17:00;0,59119
02/04/2024 16:00;0,5873
02/04/2024 15:00;0,58167
02/04/2024 14:00;0,58917
02/04/2024 13:00;0,58372
02/04/2024 12:00;0,58679
02/04/2024 11:00;0,58843
02/04/2024 10:00;0,58827
02/04/2024 09:00;0,589
02/04/2024 08:00;0,59338
02/04/2024 07:00;0,60017
02/04/2024 06:00;0,60165
02/04/2024 05:00;0,59798
02/04/2024 04:00;0,60022
02/04/2024 03:00;0,59581
02/04/2024 02:00;0,59844
02/04/2024 01:00;0,61541
02/04/2024 00:00;0,60936
01/04/2024 23:00;0,61114
01/04/2024 22:00;0,61203
01/04/2024 21:00;0,61286
01/04/2024 20:00;0,61354
01/04/2024 19:00;0,61156
01/04/2024 18:00;0,60711
01/04/2024 17:00;0,60777
01/04/2024 16:00;0,60421
01/04/2024 15:00;0,59966
01/04/2024 14:00;0,60204
01/04/2024 13:00;0,61344
01/04/2024 12:00;0,61239
01/04/2024 11:00;0,60966
01/04/2024 10:00;0,61122
01/04/2024 09:00;0,61025
01/04/2024 08:00;0,61101
01/04/2024 07:00;0,61535
01/04/2024 06:00;0,61318
